lon,lat,address,sheng,shi,xian,xiangzhen,cun,goods_made,geocodeAdd
119.205037,26.04716,"jianpingcun, minhou, fuzhou, fujian, china",福建省,福州市,闽侯县,上街镇,建平村,家具,福建省建平村
116.85533,25.113668,"peixiecun, xinluo, longyan, fujian, china",福建省,龙岩市,新罗区,小池镇,培斜村,竹席,福建省培斜村
119.110517,25.498595,"songdongcun, hanjiang, putian, fujian, china",福建省,莆田市,涵江区,梧塘镇,松东村,鞋,福建省松东村
119.06422,25.403913,"qingqiancun, licheng, putian, fujian, china",福建省,莆田市,荔城区,黄石镇,清前村,女装,福建省清前村
NA,NA,NA,福建省,莆田市,荔城区,黄石镇,西洪村,女装,福建省西洪村
119.047125,25.372901,"dongjiaocun, licheng, putian, fujian, china",福建省,莆田市,荔城区,新度镇,东郊村,女装、男装,福建省东郊村
118.770328,25.401631,"baxiacun, xianyou, putian, fujian, china",福建省,莆田市,仙游县,榜头镇,坝下村,木雕,福建省坝下村
118.737149,25.390441,"quanshancun, xianyou, putian, fujian, china",福建省,莆田市,仙游县,榜头镇,泉山村,家具,福建省泉山村
118.759732,25.403079,"zizecun, xianyou, putian, fujian, china",福建省,莆田市,仙游县,榜头镇,紫泽村,木雕,福建省紫泽村
118.891563,25.266264,"hai'ancun, xianyou, putian, fujian, china",福建省,莆田市,仙游县,枫亭镇,海安村,服装,福建省海安村
118.810459,24.905199,"shangtangcun, hui'an, quanzhou, fujian, china",福建省,莆田市,秀屿区,东峤镇,上塘村,饰品,福建省上塘村
117.9249002,26.4836842,"fujian, china",福建省,泉州市,安溪县,尚卿乡,翰卿村,藤铁家具、工艺品,福建省翰卿村
117.957897,25.115213,"hanyuancun, anxi, quanzhou, fujian, china",福建省,泉州市,安溪县,尚卿乡,翰苑村,藤铁家具、工艺品,福建省翰苑村
119.550164,25.709266,"xinloucun, fuqing, fuzhou, fujian, china",福建省,泉州市,安溪县,尚卿乡,新楼村,藤铁家具、工艺品,福建省新楼村
117.984098,25.129115,"zaokengcun, anxi, quanzhou, fujian, china",福建省,泉州市,安溪县,尚卿乡,灶坑村,藤铁家具、工艺品,福建省灶坑村
117.978282,25.116644,"zaomeicun, anxi, quanzhou, fujian, china",福建省,泉州市,安溪县,尚卿乡,灶美村,藤铁家具、工艺品,福建省灶美村
118.259315,25.483893,"baomeicun, dehua, quanzhou, fujian, china",福建省,泉州市,德化县,龙浔镇,宝美村,陶瓷,福建省宝美村
118.247447,25.497369,"xunzhongcun, dehua, quanzhou, fujian, china, 362500",福建省,泉州市,德化县,浔中镇,浔中村,陶瓷,福建省浔中村
117.619097,24.556052,"gaokengcun, xiangcheng, zhangzhou, fujian, china",福建省,泉州市,晋江市,陈埭镇,高坑村,鞋、跑步机,福建省高坑村
118.629268,24.862962,"xianshicun, jinjiang, quanzhou, fujian, china, 362000",福建省,泉州市,晋江市,陈埭镇,仙石村,鞋、包,福建省仙石村
118.518949,24.809867,"zhanglincun, jinjiang, quanzhou, fujian, china",福建省,泉州市,晋江市,磁灶镇,张林村,鞋,福建省张林村
118.449221,24.92097,"wukengcun, nan'an, quanzhou, fujian, china",福建省,泉州市,晋江市,龙湖镇,梧坑村,服饰、鞋,福建省梧坑村
118.603039,24.703944,"dancuocun, jinjiang, quanzhou, fujian, china",福建省,泉州市,晋江市,永和镇,旦厝村,服装,福建省旦厝村
NA,NA,NA,福建省,泉州市,晋江市,永和镇,玉湖村,户外用品、服装,福建省玉湖村
118.490484,24.984245,"suyacun, nan'an, quanzhou, fujian, china",福建省,泉州市,南安市,丰州镇,素雅村,鞋、数码配件,福建省素雅村
118.556435,25.258872,"feiyuncun, nan'an, quanzhou, fujian, china",福建省,泉州市,南安市,乐峰镇,飞云村,运动鞋,福建省飞云村
118.645489,24.735835,"changfucun, shishi, quanzhou, fujian, china, 362700",福建省,泉州市,南安市,霞美镇,长福村,对讲机,福建省长福村
118.465101,24.743711,"qianpucun, jinjiang, quanzhou, fujian, china",福建省,泉州市,石狮市,永宁镇,前埔村,鞋,福建省前埔村
116.933509,23.680972,"shangfushancun, raoping, chaozhou, guangdong, china",广东省,潮州市,饶平县,钱东镇,上浮山村,零食、沙发,广东省上浮山村
113.013905,22.972591,"jilicun, chancheng, foshan, guangdong, china",广东省,佛山市,禅城区,南庄镇,吉利村,笔记本电脑、手机,广东省吉利村
113.05807,22.996657,"rongzhoucun, chancheng, foshan, guangdong, china",广东省,佛山市,禅城区,南庄镇,溶洲村,瓷砖,广东省溶洲村
113.358328,23.0591,"xiaozhoucun, haizhu, guangzhou, guangdong, china",广东省,佛山市,南海区,里水镇,洲村,鞋,广东省洲村
113.109261,22.901603,"dazhacun, shunde, foshan, guangdong, china",广东省,佛山市,顺德区,乐从镇,大闸村,家具,广东省大闸村
113.340963,23.192044,"xiniujiao, baiyun, guangzhou, guangdong, china, 510000",广东省,广州市,白云区,京溪街,犀牛角村,服装,广东省犀牛角村
113.31339,23.324212,"hetingcun, baiyun, guangzhou, guangdong, china",广东省,广州市,白云区,人和镇,鹤亭村,皮具,广东省鹤亭村
113.349345,23.246272,"dayuancun, baiyun, guangzhou, guangdong, china, 510000",广东省,广州市,白云区,太和镇,大源村,服装,广东省大源村
113.380237,23.003264,"nancunzhen, panyu, guangzhou, guangdong, china, 511442",广东省,广州市,白云区,太和镇,南村,女装,广东省南村
113.296717,23.271385,"nanlingcun, baiyun, guangzhou, guangdong, china, 510000",广东省,广州市,白云区,太和镇,南岭村,箱包,广东省南岭村
NA,NA,NA,广东省,NA,NA,NA,NA,NA,广东省NA
113.343121,23.286846,"shihucun, baiyun, guangzhou, guangdong, china",广东省,广州市,白云区,太和镇,石湖村,箱包,广东省石湖村
113.088811,23.444325,"tianxincun, huadu, guangzhou, guangdong, china",广东省,广州市,白云区,太和镇,田心村,隔音材料、女装,广东省田心村
113.317238,23.286627,"baiyun, guangzhou, china",广东省,广州市,白云区,太和镇,夏良村,女装,广东省夏良村
113.330118,23.264805,"yongxingcun, baiyun, guangzhou, guangdong, china, 510000",广东省,广州市,白云区,太和镇,永兴村,数码配件、汽车零配件,广东省永兴村
113.39539,22.983116,"kengtoucun, panyu, guangzhou, guangdong, china, 511450",广东省,广州市,番禺区,南村镇,坑头村,饰品、户外用品,广东省坑头村
113.348446,22.992418,"lirendongcun, panyu, guangzhou, guangdong, china, 511442",广东省,广州市,番禺区,南村镇,里仁洞村,女装,广东省里仁洞村
113.383205,22.984191,"zhangbiancun, panyu, guangzhou, guangdong, china, 511450",广东省,广州市,番禺区,南村镇,樟边村,游艺机、家电,广东省樟边村
113.183061,23.459419,"hechengcun, huadu, guangzhou, guangdong, china",广东省,广州市,花都区,狮岭镇,合成村,箱包,广东省合成村
113.206665,23.471251,"huadu, guangzhou, china",广东省,广州市,花都区,狮岭镇,新扬村,箱包,广东省新扬村
113.189344,23.468598,"yiquncun, huadu, guangzhou, guangdong, china",广东省,广州市,花都区,狮岭镇,益群村,箱包,广东省益群村
NA,NA,NA,广东省,广州市,增城市,新塘镇,白江村,牛仔裤,广东省白江村
114.381772,22.772084,"baishicun, huiyang, huizhou, guangdong, china",广东省,广州市,增城市,新塘镇,白石村,牛仔裤,广东省白石村
115.534178,22.710506,"dongzhoucun, shanwei, guangdong, china",广东省,广州市,增城市,新塘镇,东洲村,牛仔裤,广东省东洲村
113.621715,23.107623,"ganchongcun, zengcheng, guangzhou, guangdong, china",广东省,广州市,增城市,新塘镇,甘涌村,牛仔裤,广东省甘涌村
113.651395,23.123991,"jiuyucun, zengcheng, guangzhou, guangdong, china",广东省,广州市,增城市,新塘镇,久裕村,牛仔裤,广东省久裕村
113.637955,23.114977,"nizicun, zengcheng, guangzhou, guangdong, china",广东省,广州市,增城市,新塘镇,坭紫村,牛仔裤,广东省坭紫村
113.645834,23.157903,"shangshaocun, zengcheng, guangzhou, guangdong, china",广东省,广州市,增城市,新塘镇,上邵村,牛仔裤,广东省上邵村
113.615231,23.111924,"xinhecun, zengcheng, guangzhou, guangdong, china",广东省,广州市,增城市,新塘镇,新何村,牛仔裤,广东省新何村
113.625142,23.136117,"yaotiancun, zengcheng, guangzhou, guangdong, china",广东省,广州市,增城市,新塘镇,瑶田村,牛仔裤,广东省瑶田村
114.124078,22.569836,"2090 wenjin n rd, luohu qu, shenzhen shi, guangdong sheng, china, 518000",广东省,河源市,龙川县,老隆镇,水贝村,鞋,广东省水贝村
114.095244,23.024686,"liwucun, dongguan, guangdong, china",广东省,惠州市,博罗县,园洲镇,李屋村,汽车配件,广东省李屋村
113.922374,23.119418,"liaozaicun, boluo, huizhou, guangdong, china",广东省,惠州市,博罗县,园洲镇,寮仔村,汽车配件,广东省寮仔村
