sheng,shi,xian,xiangzhen,cun,geocodeAdd,lon,lat
安徽省,宣城市,泾县,丁家桥镇,李元村,安徽省李元村,116.5268124,33.1250966
北京市,北京市,房山区,长阳镇,阎仙垡村,北京市阎仙垡村,116.229986,39.728106
福建省,福州市,晋安区,新店镇,西园村,福建省西园村,117.722032,26.085024
福建省,福州市,连江县,潘渡乡,贵安村,福建省贵安村,119.409678,26.220272
福建省,福州市,闽侯县,荆溪镇,关口村,福建省关口村,119.181593,26.137491
福建省,福州市,闽侯县,上街镇,建平村,福建省建平村,119.205037,26.04716
福建省,福州市,闽侯县,上街镇,浦口村,福建省浦口村,119.209977,26.063854
福建省,龙岩市,新罗区,小池镇,培斜村,福建省培斜村,116.85533,25.113668
福建省,莆田市,城厢区,霞林街道,坂头村,福建省坂头村,119.405109,25.629765
福建省,莆田市,城厢区,霞林街道,下黄村,福建省下黄村,119.022591,25.418596
福建省,莆田市,涵江区,国欢镇,都邠村,福建省都邠村,119.08913,25.472271
福建省,莆田市,涵江区,梧塘镇,枫林村,福建省枫林村,118.62608,24.6622
福建省,莆田市,涵江区,梧塘镇,松东村,福建省松东村,119.110517,25.498595
福建省,莆田市,荔城区,黄石镇,凤山村,福建省凤山村,118.129757,25.484137
福建省,莆田市,荔城区,黄石镇,和平村,福建省和平村,119.694677,25.597258
福建省,莆田市,荔城区,黄石镇,横塘村,福建省横塘村,119.055018,25.363407
福建省,莆田市,荔城区,黄石镇,江东村,福建省江东村,119.094296,25.410326
福建省,莆田市,荔城区,黄石镇,七境村,福建省七境村,119.069969,25.365355
福建省,莆田市,荔城区,黄石镇,清前村,福建省清前村,119.06422,25.403913
福建省,莆田市,荔城区,黄石镇,沙坂村,福建省沙坂村,119.442224,26.613891
福建省,莆田市,荔城区,黄石镇,水南村,福建省水南村,119.085117,25.379314
福建省,莆田市,荔城区,黄石镇,西洪村,福建省西洪村,119.068769,25.41435
福建省,莆田市,荔城区,黄石镇,下江头村,福建省下江头村,119.081062,25.423917
福建省,莆田市,荔城区,黄石镇,瑶台村,福建省瑶台村,119.082982,25.358727
福建省,莆田市,荔城区,西天尾镇,北大村,福建省北大村,119.043825,25.465545
